Income,Tax,Effective Rate,Marginal Rate
35900,6650.1777,0.18524171,0.2775
36000,6677.9277,0.185498,0.2775
36100,6705.6777,0.18575284,0.2775
36200,6733.4277,0.1860063,0.2775
36300,6761.1777,0.18625835,0.2775
36400,6788.9277,0.186509,0.2775
36500,6816.6777,0.1867583,0.2775
36600,6844.4277,0.18700622,0.2775
36700,6872.1777,0.1872528,0.2775
36800,6899.9277,0.18749803,0.2775
36900,6927.6777,0.18774195,0.2775
37000,6955.4277,0.18798453,0.2775
37100,6983.1777,0.18822582,0.2775
37200,7010.9277,0.1884658,0.2775
37300,7038.6777,0.18870449,0.2775
37400,7066.4277,0.18894191,0.2775
37500,7094.1777,0.18917808,0.2775
37600,7121.9277,0.18941297,0.2775
37700,7149.6777,0.18964663,0.2775
37800,7177.4277,0.18987904,0.2775
37900,7205.1777,0.19011024,0.2775
38000,7232.9277,0.1903402,0.2775
38100,7260.6777,0.19056897,0.2775
38200,7288.4277,0.19079654,0.2775
38300,7316.1777,0.19102292,0.2775
38400,7343.9277,0.19124812,0.2775
38500,7371.6777,0.19147214,0.2775
38600,7399.4277,0.19169502,0.2775
38700,7427.1777,0.19191673,0.2775
38800,7454.9277,0.19213732,0.2775
38900,7482.6777,0.19235675,0.2775
39000,7510.4277,0.19257507,0.2775
39100,7538.1777,0.19279227,0.2775
39200,7565.9277,0.19300836,0.2775
39300,7593.6777,0.19322336,0.2775
39400,7621.4277,0.19343725,0.2775
39500,7649.1777,0.19365007,0.2775
39600,7676.9277,0.19386181,0.2775
39700,7704.6777,0.19407248,0.2775
39800,7732.4277,0.1942821,0.2775
39900,7760.1777,0.19449067,0.2775
40000,7787.9277,0.1946982,0.2775
40100,7815.6777,0.19490469,0.2775
40200,7843.4277,0.19511014,0.2775
40300,7871.1777,0.19531459,0.2775
40400,7898.9277,0.19551802,0.2775
40500,7926.6777,0.19572043,0.2775
40600,7954.4277,0.19592187,0.2775
40700,7982.1777,0.1961223,0.2775
40800,8009.9277,0.19632176,0.2775
40900,8037.6777,0.19652024,0.2775
41000,8065.428,0.19671777,0.2775
41100,8093.178,0.19691432,0.2775
41200,8120.928,0.19710991,0.2775
41300,8148.678,0.19730456,0.2775
41400,8176.428,0.19749826,0.2775
41500,8204.178,0.19769102,0.2775
41600,8231.928,0.19788288,0.2775
41700,8259.678,0.1980738,0.2775
41800,8287.428,0.19826382,0.2775
41900,8315.178,0.19845293,0.2775
42000,8342.928,0.19864114,0.2775
42100,8370.678,0.19882844,0.2775
42200,8398.428,0.19901487,0.2775
42300,8426.178,0.19920042,0.2775
42400,8453.928,0.19938509,0.2775
42500,8481.678,0.19956888,0.2775
42600,8509.428,0.19975182,0.2775
42700,8537.178,0.1999339,0.2775
42800,8564.928,0.20011513,0.2775
42900,8592.678,0.20029552,0.2775
43000,8620.428,0.20047507,0.2775
43100,8648.178,0.20065378,0.2775
43200,8675.928,0.20083167,0.2775
43300,8703.678,0.20100872,0.2775
43400,8731.428,0.20118497,0.2775
43500,8759.178,0.2013604,0.2775
43600,8786.928,0.20153505,0.2775
43700,8814.678,0.20170887,0.2775
43800,8842.428,0.20188192,0.2775
43900,8870.178,0.20205416,0.2775
44000,8897.928,0.20222563,0.2775
44100,8925.678,0.20239632,0.2775
44200,8953.428,0.20256624,0.2775
44300,8981.178,0.2027354,0.2775
44400,9008.928,0.20290378,0.2775
44500,9036.678,0.20307142,0.2775
44600,9064.428,0.2032383,0.2775
44700,9092.178,0.20340443,0.2775
44800,9119.928,0.20356981,0.2775
44900,9147.678,0.20373447,0.2775
45000,9175.428,0.2038984,0.2775
45100,9203.178,0.2040616,0.2775
45200,9230.928,0.20422406,0.2775
45300,9259.668,0.20440768,0.33249998
45400,9292.918,0.20468983,0.33249998
45500,9326.168,0.20497072,0.33249998
45600,9359.418,0.2052504,0.33249998
45700,9392.668,0.20552884,0.33249998
45800,9425.918,0.20580608,0.33249998
45900,9459.168,0.20608209,0.33249998
46000,9492.418,0.20635691,0.33249998
46100,9525.668,0.20663054,0.33249998
46200,9558.918,0.20690298,0.33249998
46300,9592.168,0.20717426,0.33249998
46400,9625.418,0.20744435,0.33249998
46500,9658.668,0.20771329,0.33249998
46600,9691.918,0.20798106,0.33249998
46700,9725.168,0.2082477,0.33249998
46800,9758.418,0.2085132,0.33249998
46900,9791.668,0.20877756,0.33249998
47000,9824.918,0.2090408,0.33249998
